{'neg': 0.281, 'neu': 0.719, 'pos': 0.0, 'compound': -0.5994}
{'neg': 0.0, 'neu': 0.828, 'pos': 0.172, 'compound': 0.6124}
{'neg': 0.176, 'neu': 0.824, 'pos': 0.0, 'compound': -0.7096}
{'neg': 0.108, 'neu': 0.676, 'pos': 0.216, 'compound': 0.4939}
{'neg': 0.185, 'neu': 0.815, 'pos': 0.0, 'compound': -0.6124}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.343, 'neu': 0.657, 'pos': 0.0, 'compound': -0.69}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.199, 'neu': 0.801, 'pos': 0.0, 'compound': -0.3595}
{'neg': 0.205, 'neu': 0.795, 'pos': 0.0, 'compound': -0.5574}
{'neg': 0.0, 'neu': 0.729, 'pos': 0.271, 'compound': 0.906}
{'neg': 0.28, 'neu': 0.339, 'pos': 0.381, 'compound': 0.0516}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.176, 'neu': 0.824, 'pos': 0.0, 'compound': -0.4939}
{'neg': 0.136, 'neu': 0.62, 'pos': 0.244, 'compound': 0.4215}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.201, 'neu': 0.585, 'pos': 0.214, 'compound': 0.0828}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.0, 'neu': 0.845, 'pos': 0.155, 'compound': 0.5267}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.0, 'neu': 0.851, 'pos': 0.149, 'compound': 0.8481}
{'neg': 0.131, 'neu': 0.818, 'pos': 0.051, 'compound': -0.5207}
{'neg': 0.0, 'neu': 0.817, 'pos': 0.183, 'compound': 0.5719}
{'neg': 0.0, 'neu': 0.828, 'pos': 0.172, 'compound': 0.7698}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.24, 'neu': 0.76, 'pos': 0.0, 'compound': -0.6249}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.0, 'neu': 0.861, 'pos': 0.139, 'compound': 0.4402}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.149, 'neu': 0.851, 'pos': 0.0, 'compound': -0.7052}
{'neg': 0.054, 'neu': 0.875, 'pos': 0.071, 'compound': 0.1664}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.0, 'neu': 0.753, 'pos': 0.247, 'compound': 0.3182}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.143, 'neu': 0.857, 'pos': 0.0, 'compound': -0.128}
{'neg': 0.0, 'neu': 0.891, 'pos': 0.109, 'compound': 0.5319}
{'neg': 0.608, 'neu': 0.392, 'pos': 0.0, 'compound': -0.4767}
{'neg': 0.196, 'neu': 0.804, 'pos': 0.0, 'compound': -0.4466}
{'neg': 0.196, 'neu': 0.804, 'pos': 0.0, 'compound': -0.5994}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.0, 'neu': 0.865, 'pos': 0.135, 'compound': 0.3612}
{'neg': 0.0, 'neu': 0.935, 'pos': 0.065, 'compound': 0.4003}
{'neg': 0.0, 'neu': 0.935, 'pos': 0.065, 'compound': 0.4003}
{'neg': 0.0, 'neu': 0.935, 'pos': 0.065, 'compound': 0.4003}
{'neg': 0.423, 'neu': 0.577, 'pos': 0.0, 'compound': -0.765}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.121, 'neu': 0.879, 'pos': 0.0, 'compound': -0.4404}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.133, 'neu': 0.867, 'pos': 0.0, 'compound': -0.25}
{'neg': 0.084, 'neu': 0.916, 'pos': 0.0, 'compound': -0.296}
{'neg': 0.787, 'neu': 0.213, 'pos': 0.0, 'compound': -0.8126}
{'neg': 0.0, 'neu': 0.738, 'pos': 0.262, 'compound': 0.4943}
{'neg': 0.0, 'neu': 0.85, 'pos': 0.15, 'compound': 0.4588}
{'neg': 0.119, 'neu': 0.811, 'pos': 0.07, 'compound': -0.3956}
{'neg': 0.09, 'neu': 0.843, 'pos': 0.067, 'compound': -0.2023}
{'neg': 0.09, 'neu': 0.843, 'pos': 0.067, 'compound': -0.2023}
{'neg': 0.0, 'neu': 0.629, 'pos': 0.371, 'compound': 0.908}
{'neg': 0.09, 'neu': 0.843, 'pos': 0.067, 'compound': -0.2023}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.138, 'neu': 0.777, 'pos': 0.085, 'compound': -0.3786}
{'neg': 0.0, 'neu': 0.645, 'pos': 0.355, 'compound': 0.6705}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.095, 'neu': 0.833, 'pos': 0.072, 'compound': -0.2023}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.425, 'neu': 0.575, 'pos': 0.0, 'compound': -0.5719}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.0, 'neu': 0.88, 'pos': 0.12, 'compound': 0.3241}
{'neg': 0.141, 'neu': 0.792, 'pos': 0.068, 'compound': -0.5423}
{'neg': 0.173, 'neu': 0.616, 'pos': 0.212, 'compound': 0.3818}
{'neg': 0.077, 'neu': 0.807, 'pos': 0.116, 'compound': 0.2597}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.391, 'neu': 0.437, 'pos': 0.171, 'compound': -0.9198}
{'neg': 0.155, 'neu': 0.59, 'pos': 0.255, 'compound': 0.554}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.0, 'neu': 0.588, 'pos': 0.412, 'compound': 0.4215}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.442, 'neu': 0.493, 'pos': 0.065, 'compound': -0.9386}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.179, 'neu': 0.821, 'pos': 0.0, 'compound': -0.5423}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
